INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING,VOX
0,T,190409,195430,40.714494N,73.944396W,-6   ,36  ,263,         
1,T,190409,195431,40.714481N,73.94452W,-7   ,38  ,262,         
2,T,190409,195432,40.714473N,73.944645W,-6   ,38  ,263,         
3,T,190409,195433,40.714464N,73.944773W,-6   ,38  ,262,         
4,T,190409,195434,40.714454N,73.9449W,-6   ,38  ,263,         
5,T,190409,195435,40.714445N,73.945028W,-6   ,38  ,263,         
6,T,190409,195436,40.714435N,73.945154W,-6   ,38  ,263,         
7,T,190409,195437,40.714424N,73.945284W,-6   ,38  ,262,         
8,T,190409,195438,40.714409N,73.945406W,-6   ,37  ,262,         
9,T,190409,195439,40.7144N,73.945524W,-6   ,35  ,262,         
10,T,190409,195440,40.71439N,73.945638W,-5   ,33  ,262,         
11,T,190409,195441,40.714379N,73.94574W,-5   ,30  ,262,         
12,T,190409,195442,40.714373N,73.945826W,-5   ,24  ,263,         
13,T,190409,195443,40.714364N,73.945896W,-6   ,19  ,263,         
14,T,190409,195444,40.714358N,73.945953W,-6   ,15  ,262,         
15,T,190409,195445,40.714351N,73.945991W,-6   ,9   ,261,         
16,T,190409,195446,40.714346N,73.946013W,-6   ,4   ,261,         
17,T,190409,195447,40.714345N,73.946015W,-6   ,0   ,261,         
18,T,190409,195448,40.714341N,73.946009W,-6   ,0   ,261,         
19,T,190409,195450,40.714338N,73.946008W,-5   ,0   ,261,         
20,T,190409,195451,40.714336N,73.946006W,-5   ,0   ,261,         
21,T,190409,195452,40.714336N,73.946004W,-5   ,0   ,261,         
22,T,190409,195453,40.714336N,73.946004W,-5   ,0   ,261,         
23,T,190409,195454,40.714336N,73.946004W,-5   ,0   ,261,         
24,T,190409,195455,40.714336N,73.946004W,-5   ,0   ,261,         
25,T,190409,195456,40.714336N,73.946006W,-5   ,0   ,261,         
26,T,190409,195457,40.714334N,73.946006W,-5   ,0   ,261,         
27,T,190409,195458,40.714334N,73.946006W,-5   ,0   ,261,         
28,T,190409,195459,40.714334N,73.946006W,-5   ,0   ,261,         
29,T,190409,195500,40.714333N,73.946008W,-5   ,0   ,261,         
30,T,190409,195501,40.714333N,73.946008W,-5   ,0   ,261,         
31,T,190409,195502,40.714333N,73.946008W,-5   ,0   ,261,         
32,T,190409,195503,40.714333N,73.946008W,-5   ,0   ,261,         
33,T,190409,195504,40.714333N,73.946008W,-5   ,0   ,261,         
34,T,190409,195505,40.714333N,73.946008W,-5   ,0   ,261,         
35,T,190409,195506,40.714333N,73.946008W,-5   ,0   ,261,         
36,T,190409,195507,40.714333N,73.946008W,-5   ,0   ,261,         
37,T,190409,195508,40.714333N,73.946008W,-5   ,0   ,261,         
38,T,190409,195509,40.714333N,73.946008W,-5   ,0   ,261,         
39,T,190409,195510,40.714333N,73.946008W,-5   ,0   ,261,         
40,T,190409,195511,40.714333N,73.946008W,-5   ,0   ,261,         
41,T,190409,195512,40.714333N,73.946008W,-5   ,0   ,261,         
42,T,190409,195513,40.714333N,73.946008W,-5   ,0   ,261,         
43,T,190409,195514,40.714333N,73.946008W,-5   ,0   ,261,         
44,T,190409,195515,40.714333N,73.946008W,-5   ,0   ,261,         
45,T,190409,195516,40.714334N,73.946029W,-5   ,5   ,276,         
46,T,190409,195517,40.714325N,73.946084W,-5   ,15  ,274,         
47,T,190409,195518,40.714314N,73.946163W,-5   ,23  ,273,         
48,T,190409,195519,40.714319N,73.946266W,-5   ,28  ,272,         
49,T,190409,195520,40.714319N,73.946375W,-5   ,31  ,271,         
50,T,190409,195521,40.714308N,73.946493W,-4   ,35  ,270,         
51,T,190409,195522,40.714291N,73.946613W,-4   ,36  ,270,         
52,T,190409,195523,40.714284N,73.946731W,-4   ,34  ,269,         
53,T,190409,195524,40.714269N,73.946849W,-4   ,34  ,268,         
54,T,190409,195525,40.714256N,73.946966W,-4   ,34  ,268,         
55,T,190409,195526,40.714243N,73.947083W,-4   ,35  ,267,         
56,T,190409,195527,40.714231N,73.947201W,-4   ,36  ,267,         
57,T,190409,195528,40.71422N,73.947318W,-4   ,35  ,265,         
58,T,190409,195529,40.71421N,73.94743W,-4   ,33  ,263,         
59,T,190409,195530,40.714199N,73.947541W,-4   ,33  ,263,         
60,T,190409,195531,40.714188N,73.947649W,-4   ,32  ,262,         
61,T,190409,195532,40.714183N,73.947758W,-4   ,32  ,262,         
62,T,190409,195533,40.714171N,73.947863W,-4   ,31  ,262,         
63,T,190409,195534,40.714159N,73.947964W,-4   ,31  ,262,         
64,T,190409,195535,40.714148N,73.948065W,-4   ,30  ,261,         
65,T,190409,195536,40.714135N,73.94817W,-4   ,31  ,261,         
66,T,190409,195537,40.714123N,73.948275W,-4   ,31  ,261,         
67,T,190409,195538,40.714109N,73.948371W,-4   ,28  ,261,         
68,T,190409,195539,40.714103N,73.948453W,-4   ,23  ,260,         
69,T,190409,195540,40.714101N,73.948515W,-4   ,17  ,261,         
70,T,190409,195541,40.714093N,73.948564W,-4   ,14  ,260,         
71,T,190409,195542,40.714088N,73.948606W,-3   ,12  ,259,         
72,T,190409,195543,40.714081N,73.948641W,-3   ,11  ,260,         
73,T,190409,195544,40.714076N,73.948681W,-3   ,12  ,260,         
74,T,190409,195545,40.714073N,73.948733W,-3   ,16  ,260,         
75,T,190409,195546,40.714064N,73.948801W,-3   ,19  ,262,         
76,T,190409,195547,40.714058N,73.948874W,-3   ,22  ,264,         
77,T,190409,195548,40.714049N,73.948963W,-3   ,23  ,264,         
78,T,190409,195549,40.714038N,73.949043W,-3   ,24  ,265,         
79,T,190409,195550,40.714036N,73.949131W,-3   ,24  ,264,         
80,T,190409,195551,40.714029N,73.94921W,-3   ,22  ,263,         
81,T,190409,195552,40.714024N,73.949279W,-3   ,20  ,262,         
82,T,190409,195553,40.714023N,73.949348W,-3   ,20  ,262,         
83,T,190409,195554,40.714016N,73.949414W,-3   ,21  ,262,         
84,T,190409,195555,40.714008N,73.949484W,-3   ,21  ,262,         
85,T,190409,195556,40.714N,73.949555W,-3   ,21  ,262,         
86,T,190409,195557,40.713995N,73.949619W,-3   ,21  ,262,         
87,T,190409,195558,40.71399N,73.949686W,-3   ,21  ,263,         
88,T,190409,195559,40.71399N,73.949754W,-3   ,21  ,264,         
89,T,190409,195600,40.713996N,73.949828W,-3   ,22  ,265,         
90,T,190409,195601,40.714008N,73.949905W,-3   ,24  ,277,         
91,T,190409,195602,40.714018N,73.949988W,-3   ,25  ,276,         
92,T,190409,195603,40.714028N,73.950076W,-3   ,26  ,276,         
93,T,190409,195604,40.714035N,73.950163W,-3   ,26  ,275,         
94,T,190409,195605,40.71404N,73.950244W,-4   ,24  ,274,         
95,T,190409,195606,40.714041N,73.950321W,-4   ,22  ,273,         
96,T,190409,195607,40.714045N,73.950393W,-4   ,21  ,272,         
97,T,190409,195608,40.714048N,73.950464W,-4   ,21  ,272,         
98,T,190409,195609,40.714048N,73.950538W,-4   ,22  ,270,         
99,T,190409,195610,40.714049N,73.950611W,-4   ,23  ,270,         
100,T,190409,195611,40.714055N,73.950683W,-5   ,23  ,269,         
101,T,190409,195612,40.714058N,73.950751W,-5   ,20  ,269,         
102,T,190409,195613,40.71406N,73.950805W,-5   ,14  ,268,         
103,T,190409,195614,40.714061N,73.950836W,-5   ,7   ,261,         
104,T,190409,195615,40.71406N,73.950846W,-6   ,0   ,261,         
